Date,Open,High,Low,Close,Volume
2024-01-02,15.50,15.75,15.40,15.65,1250000
2024-01-03,15.65,15.80,15.50,15.70,980000
2024-01-04,15.70,15.85,15.60,15.75,1100000
2024-01-05,15.75,15.90,15.65,15.85,1350000
2024-01-08,15.85,16.00,15.80,15.95,1180000
2024-01-09,15.95,16.10,15.85,16.05,1420000
2024-01-10,16.05,16.15,15.95,16.10,1050000
2024-01-11,16.10,16.20,16.00,16.15,1280000
2024-01-12,16.15,16.25,16.05,16.20,1150000
2024-01-15,16.20,16.35,16.10,16.30,1380000
2024-01-16,16.30,16.40,16.20,16.35,1220000
2024-01-17,16.35,16.45,16.25,16.40,1160000
2024-01-18,16.40,16.50,16.30,16.45,1240000
2024-01-19,16.45,16.55,16.35,16.50,1320000
2024-01-22,16.50,16.60,16.40,16.55,1180000
2024-01-23,16.55,16.65,16.45,16.60,1090000
2024-01-24,16.60,16.70,16.50,16.65,1150000
2024-01-25,16.65,16.75,16.55,16.70,1200000
2024-01-26,16.70,16.80,16.60,16.75,1280000
2024-01-29,16.75,16.85,16.65,16.80,1340000
2024-01-30,16.80,16.90,16.70,16.85,1220000
2024-01-31,16.85,16.95,16.75,16.90,1380000
2024-02-01,16.90,17.00,16.80,16.95,1450000
2024-02-02,16.95,17.05,16.85,17.00,1320000
2024-02-05,17.00,17.10,16.90,17.05,1280000
2024-02-06,17.05,17.15,16.95,17.10,1190000
2024-02-07,17.10,17.20,17.00,17.15,1240000
2024-02-08,17.15,17.25,17.05,17.20,1380000
2024-02-09,17.20,17.30,17.10,17.25,1420000
2024-02-12,17.25,17.35,17.15,17.30,1350000
